city,m_c
alexandria,8417.391304347826
aswan,6666.666666666667
asyut,15500.0
beheira,4884.219554030875
beni suef,6046.319272125724
cairo,11666.666666666666
dakahlia,8831.926829268292
damietta,6713.138686131387
gharbia,7741.935483870968
giza,8478.260869565218
ismailia,6833.333333333333
kafr al-sheikh,8892.592592592591
matruh,5951.963241436926
minya,8500.0
monufia,5300.0
port said,6603.773584905661
qalyubia,4490.0
qena,5769.2307692307695
red sea,8450.704225352112
sharqia,4814.814814814815
south sinai,9642.857142857143
suez,4954.545454545454
