,bias
giza,0.9999999999999882
alexandria,1.0002606890309351
cairo,1.0000440279364669
sharqia,0.9694849466030999
dakahlia,0.9978129403781929
port said,1.0820903583238353
aswan,0.9967768870469844
kafr al-sheikh,1.4762108009561727
damietta,0.9906044820190607
gharbia,0.9680417508957112
qalyubia,0.7853561568485534
red sea,0.954621660756854
matruh,0.9944541044050158
beheira,1.2084352390710325
ismailia,1.000773057341559
south sinai,1.021557318181485
suez,1.319634466498983
monufia,0.9973978315941548
beni suef,0.9069706815564877
asyut,1.3694710566819355
minya,1.1441911998601981
qena,0.7597574978676528
